date,adx,ma_slope,volatility_regime,atr_ratio,adx_score,slope_score,regime_score,favorable_regime,position_size_adj,in_season,season,hmm_confidence
2020-02-21 11:25:00,34.11639630774546,-0.13657279642469433,1,0.7888631090487239,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:30:00,30.32585110416405,-0.12885792595281886,1,0.7438662290982966,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:35:00,26.472091020903186,-0.12248190303837392,1,0.7224334600760457,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:40:00,22.279237906737386,-0.11967117219698897,1,0.6849757673667205,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:45:00,18.07649620400289,-0.11968809639357758,1,0.6997854431424327,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:50:00,17.43937623369101,-0.11732178775774038,1,0.7102993404363268,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 11:55:00,17.854203181413855,-0.11629725041136796,1,0.7027309097234302,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:00:00,18.635544289279213,-0.11541755091403205,1,0.696463830551068,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:05:00,21.574710386328682,-0.11915524886318973,1,0.7545773996670981,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:10:00,24.342856479706054,-0.12408407925292853,1,0.7432950191570882,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:15:00,25.598808860653048,-0.1294597698923483,1,0.7525383237109298,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:20:00,26.74284542264152,-0.13692058308204524,1,0.7678094847053993,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:25:00,27.830880047385413,-0.1399168247374183,1,0.7519116397621071,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:30:00,27.758729975235532,-0.1451484791449631,1,0.7358448997576559,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:35:00,28.20564013088148,-0.14561616354320517,1,0.7535179300953246,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:40:00,28.733510193632377,-0.14935851857813542,1,0.7889822595704948,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:45:00,29.884303844421158,-0.14967783485942965,1,0.8331338281062965,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:50:00,30.677954638068513,-0.15595646339645608,1,0.8386463952918097,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 12:55:00,31.11446257457413,-0.15762168707398327,1,0.8295625942684768,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:00:00,27.9262748571017,-0.1574976957013141,1,0.830967741935484,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:05:00,24.09758236316821,-0.15961049073512923,1,0.831347630394493,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:10:00,22.433124372188036,-0.16217272663526794,1,0.854747092236949,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:15:00,21.858379967660248,-0.1671207775891026,1,0.8236594803758982,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:20:00,22.5210035076438,-0.1683423797463779,1,0.8597920764259623,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:25:00,23.46217997823043,-0.17478524997575073,1,0.9070165430690247,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:30:00,24.58262815749993,-0.18182713882010093,1,0.8927536231884058,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:35:00,26.55055818665054,-0.18931872135209415,1,0.955731457050718,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:40:00,29.725161361244368,-0.18442359785800777,1,0.9419431279620853,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:45:00,32.61814651228745,-0.1772869569373392,1,0.9603841536614646,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:50:00,36.2172605765121,-0.17328174715803835,1,1.0163339382940109,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 13:55:00,38.871700730948056,-0.15792336010709285,1,1.0804248861911987,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:00:00,39.75380055883117,-0.1430095668468856,1,1.1693426234474402,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:05:00,40.993043243855865,-0.12898809363668384,1,1.1920529801324504,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:10:00,44.47161666930325,-0.11540732657134845,1,1.1698000596836764,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:15:00,48.043045240723416,-0.10107746181932109,1,1.1983471074380165,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:20:00,50.124574822247006,-0.08434918769039124,1,1.2084063047285465,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:25:00,50.12857418235017,-0.06656674175994359,1,1.2780656303972366,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
2020-02-21 14:30:00,48.48976016618227,-0.06133877104030905,1,1.2542565266742338,0,0,99.48799289729361,True,1.5,1,Q1,0.9948799289729361
